Reservation_ID,Vendor_Booking_ID,Guest_Name,Channel,SU_Status,PMS_Status,Admin_Status,Property_ID,Property_Name,Assigned_Representative,Target_Portal_URL,Check_In,Check_Out,Match_Type,Notes
NH74075488691660,1261507,PMS Guest,Gommt,Not in SU,cancelled,,4820,Raga Living,Unassigned,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202509161710334627&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000684921,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
HM3WA8A2D8,1271918,PMS Guest,Airbnb,Not in SU,cancelled,,3816,Seraphine,Unassigned,https://www.airbnb.com/rooms/1203402037013716368,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TAexbcBct8b3Sy,1273797,PMS Guest,Others,Not in SU,confirmed,,5177,Mai Ludvina,Shital,https://www.stayvista.com/villa/mai-ludvina,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
NH72099502155252,1276171,PMS Guest,Gommt,Not in SU,cancelled,,4634,The Edge of Sky,Unassigned,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511011725196734&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000697248,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TEWt8E5IzGEPxJ,1276314,PMS Guest,Others,Not in SU,confirmed,,4887,Property #4887,Unassigned,not available,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TIxRsJvghTsJjc,1279365,PMS Guest,Others,Not in SU,confirmed,,4004,A Portuguese Tale,Unassigned,https://www.stayvista.com/villa/a-portuguese-tale-assagao-7-bhk-villa-in-goa-with-private-pool-and-spacious-rooms,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TNHVdGHgd5EsVk,1282643,PMS Guest,Others,Not in SU,confirmed,,5490,Palmshade M2 Retreat - 7BR,Unassigned,https://www.stayvista.com/villa/palmshade-m2-retreat,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TO5jLLv5IVnXIf,1283195,PMS Guest,Others,Not in SU,confirmed,,958,Villa Maira,Unassigned,https://www.stayvista.com/villa/villa-maira-3-bhk-villa-in-lonavala-with-spacious-rooms,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
nan,1286456,PMS Guest,Others,Not in SU,cancelled,,5817,Property #5817,Unassigned,not available,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
pay_TVZfruXnitrqM1,1288276,PMS Guest,Others,Not in SU,confirmed,,5080,Property #5080,Unassigned,not available,2026-09-23,,PMS Only,"Present in PMS Base Dump, not found in SU"
