Reservation_ID,Vendor_Booking_ID,Guest_Name,Channel,SU_Status,PMS_Status,Admin_Status,Property_ID,Property_Name,Assigned_Representative,Target_Portal_URL,Check_In,Check_Out,Match_Type,Notes
pay_Tf6K5m6ymj17f4,1294161,PMS Guest,Others,Not in SU,tentative,,3649,Majestic Whispers - 5BR,Unassigned,https://www.stayvista.com/villa/majestic-whispers,2026-09-23,,PMS Direct,Special status: tentative
nan,1294188,PMS Guest,Others,Not in SU,tentative,,5002,Vintage Varanasi by the Ganges,Unassigned,https://www.stayvista.com/villa/vintage-varanasi-by-the-ganges,2026-09-23,,PMS Direct,Special status: tentative
6096423711,1294214,PMS Guest,B.com,Not in SU,no-show,,5046,Moets Palm Villa,Shital,https://www.booking.com/hotel/in/stayvista-at-moets-palm-villa.html,2026-09-23,,PMS Direct,Special status: no-show
NH72178519016156,1294393,PMS Guest,Gommt,Not in SU,tentative,,432,Padam Hill,Shital,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281930462472&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000254216,2026-09-23,,PMS Direct,Special status: tentative
pay_TfRQOTCt18q6yW,1294399,PMS Guest,Others,Not in SU,tentative,,4632,Echoes of Ease,Unassigned,https://www.stayvista.com/villa/echoes-of-ease,2026-09-23,,PMS Direct,Special status: tentative
6828904236,1294405,PMS Guest,B.com,Not in SU,tentative,,5635,Property #5635,Unassigned,not available,2026-09-23,,PMS Direct,Special status: tentative
pay_TeE1QQmkH8o6X7,1293585,PMS Guest,Others,Not in SU,tentative,,4841,Casa Roma,Sharon,https://www.stayvista.com/villa/casa-roma,2026-09-24,,PMS Direct,Special status: tentative
pay_TewAF6ORoD9gLL,1293970,PMS Guest,Others,Not in SU,tentative,,1631,Mellow Cottage,Unassigned,https://www.stayvista.com/villa/mellow-cottage,2026-09-24,,PMS Direct,Special status: tentative
6003636676,1294398,PMS Guest,B.com,Not in SU,tentative,,5375,Dynast - By the Beach,Unassigned,https://www.booking.com/hotel/in/stayvista-at-dynast-the-abode-of-art-with-pool-lawn.html,2026-09-24,,PMS Direct,Special status: tentative
SVBI/156385,1291463,PMS Guest,Others,Not in SU,tentative,,209,Ashore By Vista,Lakshmi,https://www.stayvista.com/villa/ashore-by-vista-morjim-6-bhk-villa-in-goa-with-private-pool-and-spacious-rooms,2026-09-25,,PMS Direct,Special status: tentative
nan,1292566,PMS Guest,Others,Not in SU,tentative,,5156,Property #5156,Unassigned,not available,2026-09-25,,PMS Direct,Special status: tentative
